Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
31.12.2013	01.01.2014	KREDITRTE	KREDITRENTER	468,00	90010000	
30.12.2013	30.12.2013	VISA VARE	*4621 26.12 USD 6.00 SRA*SUPPORT.STRAVA.COM Kurs: 6.2883	-37,73	50001685147	
30.12.2013	30.12.2013	VISA VARE	*4621 23.12 NOK 99.00 PAYPAL *SPOTIFY Kurs: 1.0000	-99,00	50001685147	
27.12.2013	27.12.2013	VISA VARE	*4621 20.12 NOK 30.00 Ruter billett Kurs: 1.0000	-30,00	50001685147	
27.12.2013	26.12.2013	OVERFØRT	Til felleskonto	-33398,00	89250468	3705.17.98423
27.12.2013	26.12.2013	OVERFØRT	Sparing	-2000,00	89250164	3705.09.65105
27.12.2013	27.12.2013	VARER	26.12 BP FØRDE NAUSTDALSVN FØRDE	-215,80	17017100045	
27.12.2013	27.12.2013	VARER	26.12 PIKANT AS TLF:57832295 WWW.PIKANT.NO	-69,00	17017470299	
27.12.2013	27.12.2013	VARER	26.12 PIKANT AS TLF:57832295 WWW.PIKANT.NO	-138,00	17017606719	
23.12.2013	23.12.2013	VISA VARE	*4621 19.12 NOK 34.00 OSLO KOMMUNE Kurs: 1.0000	-34,00	50001685147	
23.12.2013	23.12.2013	VARER	21.12 REMA VIE SENTER VIEVEGEN 1 FØRDE	-57,80	17017265010	
23.12.2013	23.12.2013	VISA VARE	*4621 19.12 NOK 98.00 WWWJOTTANO Kurs: 1.0000	-98,00	50001685147	
23.12.2013	23.12.2013	VARER	21.12 REMA VIE SENTER VIEVEGEN 1 FØRDE	-997,15	17017155611	
20.12.2013	20.12.2013	LØNN	Lonn fra CISCO SYSTEMS NORWAY AS	53653,33	50975006863	
20.12.2013	20.12.2013	VARER	20.12 STATOIL RINGERI HOLEVEIEN 17 RØYSE	-460,00	17017698108	
20.12.2013	20.12.2013	VISA VARE	*4621 18.12 NOK 30.00 Ruter billett Kurs: 1.0000	-30,00	50001685147	
20.12.2013	20.12.2013	VARER	19.12 NYE SØMSENTERET AKERSGT. 8 0157 OSLO	-5596,00	17017417313	
19.12.2013	19.12.2013	VISA VARE	*4621 17.12 NOK 30.00 Ruter billett Kurs: 1.0000	-30,00	50001685147	
19.12.2013	19.12.2013	VARER	18.12 CLAS OHLSON 852 VITAMINVEIEN OSLO	-160,00	17017325012	
19.12.2013	19.12.2013	AVTGI	CHESS COMMUNICATION AS	-206,62	93420166	5210.05.61603
19.12.2013	19.12.2013	VARER	18.12 SPORTSHUSET STO VITAMINVN 7 OSLO	-999,00	17017233445	
19.12.2013	19.12.2013	VISA VARE	*4621 17.12 NOK 30.00 Ruter billett Kurs: 1.0000	-30,00	50001685147	
19.12.2013	19.12.2013	VARER	19.12 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017308161	
18.12.2013	18.12.2013	VARER	18.12 NARVESEN 868 HENRIK IBSEN OSLO	-85,00	17017983357	
17.12.2013	17.12.2013	VISA VARE	*4621 14.12 NOK 60.00 Ruter billett Kurs: 1.0000	-60,00	50001685147	
17.12.2013	17.12.2013	VISA VARE	*4621 14.12 NOK 30.00 Ruter billett Kurs: 1.0000	-30,00	50001685147	
17.12.2013	17.12.2013	VARER	17.12 NARVESEN 417 JERNBANETORG OSLO	-25,00	17017366257	
16.12.2013	16.12.2013	VARER	13.12 REMA BJERKE TRONDHEIMSVE OSLO	-322,79	17017611891	
16.12.2013	16.12.2013	VARER	14.12 7 - ELEVEN 7115 BRUGT.1 OSLO	-52,00	17017903025	
16.12.2013	16.12.2013	VARER	14.12 THON HOTEL OPER CHRISTIAN FR OSLO	-129,00	17017409895	
16.12.2013	16.12.2013	VARER	14.12 PASCAL KONDITOR TOLLBUGATA 1 OSLO	-230,00	17017145479	
13.12.2013	13.12.2013	VISA VARE	*4621 10.12 NOK 24.00 STORO STORSENTER Kurs: 1.0000	-24,00	50001685147	
13.12.2013	13.12.2013	VARER	13.12 PLATEKOMPANIET VITAMINVEIEN OSLO	-398,50	17017346522	
12.12.2013	12.12.2013	VARER	11.12 REMA BJERKE TRONDHEIMSVE OSLO	-170,10	17017023076	
11.12.2013	11.12.2013	VARER	10.12 MØLLER BIL ØST KAKKELOVNSKR OSLO	-5563,00	17017902088	
11.12.2013	11.12.2013	VARER	10.12 ICA Supermarked Linder OSLO	-142,64	17017175406	
11.12.2013	11.12.2013	VARER	10.12 JUNIOR BARNEKLÆ VITAMINVN. 7 OSLO	-701,30	17017121145	
11.12.2013	11.12.2013	VARER	10.12 H&M 718 STORO VITAMINVN. OSLO	-548,00	17017929600	
11.12.2013	11.12.2013	VARER	10.12 LILLE PERSILLE VOGELLUND 6 NESBRU	-42,00	17017128589	
10.12.2013	10.12.2013	VARER	10.12 BABYSHOP STORO VITAMINVEIEN OSLO	-299,00	17017526325	
10.12.2013	10.12.2013	VISA VARE	*4621 08.12 NOK 2181.00 WWW ELITEFOTO NO Kurs: 1.0000	-2181,00	50001685147	
09.12.2013	09.12.2013	VARER	07.12 IKEA FURUSET STRØMSVN 303 OSLO	-15,00	17017505639	
09.12.2013	09.12.2013	VARER	07.12 IKEA FURUSET STRØMSVN 303 OSLO	-968,00	17017699527	
09.12.2013	09.12.2013	VARER	09.12 CISCO CATERING PHILIP PERDE LYSAKER	-45,00	17017275668	
09.12.2013	09.12.2013	VARER	08.12 SOM TAM THAI VOGTS GATE 6 OSLO	-425,00	17017428159	
06.12.2013	06.12.2013	VARER	06.12 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017096295	
05.12.2013	05.12.2013	VARER	05.12 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017405612	
05.12.2013	05.12.2013	VISA VARE	*4621 03.12 NOK 15.85 GOOGLE *Marten Gajda Kurs: 1.0000	-15,85	50001685147	
03.12.2013	03.12.2013	VARER	03.12 SHELL STRAND DR AMMENSV ESTABEKK	-77,00	17017878040	
03.12.2013	03.12.2013	VISA VARE	*4621 29.11 NOK 35.00 APPLE ITUNES STORE-NOK Kurs: 1.0000	-35,00	50001685147	
03.12.2013	03.12.2013	VISA VARE	*4621 29.11 NOK 30.00 Ruter billett Kurs: 1.0000	-30,00	50001685147	
