Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
31.12.2013	01.01.2014	KREDITRTE	KREDITRENTER	29,00	90010000	
31.12.2013	31.12.2013	AVTGI	Viken Fiber AS	-768,00	93420074	1503.14.83481
31.12.2013	31.12.2013	VARER	31.12 SPECTRA NORGE 2 STRANDGATEN BERGEN	-150,00	17017807482	
31.12.2013	31.12.2013	VARER	31.12 COOP EXTRA BYGG BRULANDSVELL FØRDE	-702,38	17017029224	
31.12.2013	31.12.2013	VARER	30.12 SPAR MATSENTER HANDELSHUSET 6800 FRDE	-553,30	17017576707	
30.12.2013	30.12.2013	VARER	29.12 BP FØRDE NAUSTDALSVN FØRDE	-293,40	17017494952	
30.12.2013	30.12.2013	AVTGI	Gudbrandsdal Energi AS	-268,67	93420252	2095.19.81088
30.12.2013	30.12.2013	VARER	28.12 REMA VIE SENTER VIEVEGEN 1 FØRDE	-229,67	17017617314	
27.12.2013	27.12.2013	VISA VARE	*4485 20.12 NOK 79.00 WWW.NETFLIX.COM Kurs: 1.0000	-79,00	50001685147	
27.12.2013	27.12.2013	VISA VARE	*4485 20.12 NOK 1.00 KLEIN IMPEX AS Kurs: 1.0000	-1,00	50001685147	
27.12.2013	26.12.2013	LÅN	Til:37061218050	-18044,00	50370679100	3706.12.18050
27.12.2013	26.12.2013	AVTALE	Til felleskonto	33398,00	89250468	3705.09.65091
23.12.2013	23.12.2013	VARER	20.12 Shell Hemsedal Skogsta dHemsedal	-316,79	17017967701	
23.12.2013	23.12.2013	VARER	21.12 HANDELSHUSET LI NAUSTDALSVN FØRDE	-52,90	17017046316	
23.12.2013	23.12.2013	VARER	20.12 Shell Hemsedal Skogsta dHemsedal	-97,00	17017229320	
23.12.2013	23.12.2013	VISA VARE	*8081 18.12 NOK 24.00 STORO STORSENTER Kurs: 1.0000	-24,00	50001685147	
23.12.2013	23.12.2013	VISA VARE	*4485 18.12 NOK 24.00 STORO STORSENTER Kurs: 1.0000	-24,00	50001685147	
20.12.2013	20.12.2013	VARER	19.12 APOTEK 1,BJERKE TRONDHEIMSVN OSLO	-87,40	17017366529	
20.12.2013	20.12.2013	AVTGI	GJENSIDIGE FORSIKRING	-1787,00	93422365	6005.06.08460
20.12.2013	20.12.2013	VARER	20.12 STATOIL RINGERI HOLEVEIEN 17 RØYSE	-79,00	17017975369	
20.12.2013	20.12.2013	VARER	20.12 STATOIL RINGERI HOLEVEIEN 17 RØYSE	-85,00	17017061137	
20.12.2013	20.12.2013	VARER	19.12 REMA BJERKE TRONDHEIMSVE OSLO	-244,99	17017452076	
19.12.2013	19.12.2013	VARER	18.12 NARVESEN 840 VITAMINVN.7 OSLO	-28,00	17017356406	
19.12.2013	19.12.2013	VARER	18.12 KIWI 402 TONSEN RØDBERGVN.16 OSLO	-470,81	17017924290	
19.12.2013	19.12.2013	VARER	18.12 KREMMERHUSET VITAMINVN. 7 OSLO	-168,00	17017344186	
18.12.2013	18.12.2013	VARER	18.12 CUBUS 803 STORO SHOP. OSLO	-129,00	17017302723	
18.12.2013	18.12.2013	VARER	18.12 H&M 718 STORO VITAMINVN. OSLO	-1092,00	17017990702	
18.12.2013	18.12.2013	VARER	18.12 SPORTSHUSET STO VITAMINVN 7 OSLO	-1498,00	17017454846	
18.12.2013	18.12.2013	VARER	18.12 THE BODY SHOP S STORO STORSE OSLO	-169,00	17017584527	
18.12.2013	18.12.2013	VARER	18.12 CISCO CATERING PHILIP PERDE LYSAKER	-45,00	17017933841	
17.12.2013	17.12.2013	VARER	17.12 VINMONOPOLET LINDERUD OSLO	-520,70	17017838425	
17.12.2013	17.12.2013	VARER	17.12 CISCO CATERING PHILIP PERDE LYSAKER	-25,00	17017584774	
17.12.2013	17.12.2013	VARER	17.12 IKEA FURUSET STRØMSVN 303 OSLO	-353,00	17017845254	
17.12.2013	17.12.2013	VARER	17.12 ARK, LINDERUD ERICH MOGENS OSLO	-379,00	17017197176	
17.12.2013	17.12.2013	VARER	16.12 KIWI 402 TONSEN RØDBERGVN.16 OSLO	-775,89	17017728542	
17.12.2013	17.12.2013	VARER	16.12 STATOIL BJERKE ØKERN TORGVE OSLO	-871,09	17017584801	
17.12.2013	17.12.2013	VARER	17.12 ENKLERE LIV 07 ERICH MOGENS OSLO	-50,00	17017683629	
17.12.2013	17.12.2013	VARER	17.12 MESTER GRØNN HOVEDKONTOR SECTOR	-382,00	17017975423	
17.12.2013	17.12.2013	VARER	17.12 KICKS 636 ERIC MOGENSE OSLO	-320,00	17017040091	
16.12.2013	16.12.2013	VARER	16.12 KIWI MINIPRIS PROF.KOHTSV. 1368 STABEKK	-77,20	17017802432	
16.12.2013	16.12.2013	VARER	14.12 184 JERNIA LINDERUD OSLO	-318,00	17017159670	
16.12.2013	16.12.2013	VARER	14.12 EPLEHUSET NORGE STORGT. 17 OSLO	-779,00	17017787713	
16.12.2013	16.12.2013	VARER	14.12 INTERSPORT LIND ERICH MOGENS OSLO	-257,30	17017663468	
16.12.2013	16.12.2013	VARER	14.12 SUSHI HUSET CB TRONDHEIMSVE OSLO	-400,00	17017318856	
16.12.2013	16.12.2013	VARER	13.12 VINMONOPOLET STORO OSLO	-308,90	17017904237	
16.12.2013	16.12.2013	VARER	14.12 171 BOOTS APOTEK LINDERUD	-144,00	17017718529	
16.12.2013	16.12.2013	VARER	14.12 ICA Supermarked Linder OSLO	-523,85	17017879333	
16.12.2013	16.12.2013	VARER	14.12 BRIO LINDERUD ERIK MOGENSS OSLO	-209,00	17017294518	
16.12.2013	16.12.2013	VARER	13.12 LILLE PERSILLE VOGELLUND 6 NESBRU	-42,00	17017035194	
16.12.2013	16.12.2013	VARER	13.12 Matkroken Arvol l Oslo	-307,20	17017058046	
13.12.2013	13.12.2013	VARER	13.12 VINMONOPOLET STORO OSLO	-395,90	17017248880	
13.12.2013	13.12.2013	VARER	13.12 KREMMERHUSET VITAMINVN. 7 OSLO	-159,00	17017271725	
13.12.2013	13.12.2013	VARER	13.12 BAKER HANSEN AS VITAMINVN. 7 OSLO	-79,00	17017392417	
13.12.2013	13.12.2013	VARER	13.12 TEKNIKMAGASINET VITAMINV.7-9 OSLO	-69,90	17017881012	
13.12.2013	13.12.2013	VARER	13.12 SPEKESTUA VALHALLVN 15 SOFIEMYR	-380,00	17017713347	
13.12.2013	13.12.2013	VARER	13.12 NARVESEN 840 VITAMINVN.7 OSLO	-139,00	17017908140	
13.12.2013	13.12.2013	VARER	13.12 H&M 718 STORO VITAMINVN. OSLO	-329,50	17017713234	
13.12.2013	13.12.2013	VARER	12.12 REMA BJERKE TRONDHEIMSVE OSLO	-597,01	17017947641	
13.12.2013	13.12.2013	VARER	13.12 TANUM STORO VITAMINVN. 7 OSLO	-437,00	17017206010	
13.12.2013	13.12.2013	VARER	13.12 AVD.2 NOTABENE STORO	-258,50	17017526757	
12.12.2013	12.12.2013	AVTALE	Til felleskonto	16327,00	50370028925	3700.15.71126
11.12.2013	11.12.2013	VARER	10.12 STATOIL BJERKE ØKERN TORGVE OSLO	-96,34	17017794936	
11.12.2013	11.12.2013	VISA VARE	*4485 03.12 NOK 36.00 OSLO UNIVERSITETSSYKEHUS Kurs: 1.0000	-36,00	50001685147	
09.12.2013	09.12.2013	VARER	07.12 IKEA FURUSET STRØMSVN 303 OSLO	-104,00	17017842889	
09.12.2013	09.12.2013	VARER	07.12 ESSO NITTEDAL HADELANDSVN. NITTEDAL	-64,00	17017923291	
09.12.2013	09.12.2013	VARER	06.12 REMA BJERKE TRONDHEIMSVE OSLO	-631,09	17017891753	
06.12.2013	06.12.2013	VARER	05.12 KIWI 357 GREFSE GREFSENVEIEN OSLO	-118,44	17017358278	
06.12.2013	06.12.2013	VARER	05.12 ICA Supermarked Linder OSLO	-218,30	17017516817	
05.12.2013	05.12.2013	VARER	04.12 ICA Supermarked Linder OSLO	-428,44	17017946751	
05.12.2013	05.12.2013	VARER	04.12 VINMONOPOLET LINDERUD OSLO	-389,90	17017820862	
05.12.2013	05.12.2013	VARER	04.12 ENKLERE LIV 07 ERICH MOGENS OSLO	-249,00	17017846017	
04.12.2013	04.12.2013	VARER	03.12 Matkroken Arvol l Oslo	-157,70	17017443249	
03.12.2013	03.12.2013	VARER	03.12 ÅPENT BAKERI AS DAMPPLASSEN OSLO	-58,00	17017348954	
03.12.2013	03.12.2013	VARER	02.12 APOTEK 1,BJERKE TRONDHEIMSVN OSLO	-165,70	17017601113	
03.12.2013	03.12.2013	VARER	03.12 FYS MED POLIKLI KIRKEVN 166 OSLO	-315,00	17017216756	
03.12.2013	03.12.2013	VARER	02.12 REMA BJERKE TRONDHEIMSVE OSLO	-752,04	17017155899	
02.12.2013	02.12.2013	VARER	01.12 ISTANBUL LINDER E. MOGENSØNS OSLO	-76,00	17017791252	
02.12.2013	02.12.2013	VARER	29.11 REMA BJERKE TRONDHEIMSVE OSLO	-643,01	17017875277	
02.12.2013	02.12.2013	VARER	30.11 ÅHLENS AS LINDERUD OSLO	-246,00	17017019706	
02.12.2013	02.12.2013	VARER	30.11 ICA Supermarked Linder OSLO	-744,57	17017562887	
02.12.2013	02.12.2013	VARER	30.11 184 JERNIA LINDERUD OSLO	-149,00	17017122202	
02.12.2013	02.12.2013	NETTGIRO	Nettgiro til: ÅRVOLLVEIEN BAR Betalt: 01.12.13	-2365,00	50389019152	1503.28.84420
02.12.2013	02.12.2013	OVERFØRT	Til: 6090.06.06888 Betalt: 01.12.13	-3380,00	89252266	6090.06.06888
02.12.2013	02.12.2013	VARER	30.11 MESTER GRØNN HOVEDKONTOR SECTOR	-195,00	17017296923	
30.11.2013	29.11.2013	VARER	29.11 VINMONOPOLET LINDERUD OSLO	-220,60	17017034120	
30.11.2013	29.11.2013	AVTGI	Viken Fiber AS	-768,00	93420684	1503.14.83481
