Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
09.05.2014	09.05.2014	VARER	09.05 NETCOM LINDERUD ERICK MOGENS OSLO	-249,00	17017585417	
09.05.2014	09.05.2014	VISA VARE	*8081 07.05 NOK 4.00 EUROPARK ONLINE Kurs: 1.0000	-4,00	50001685147	
09.05.2014	09.05.2014	VARER	09.05 8356 ICA ERIK MOGENSØ OSLO	-50,40	17017168114	
09.05.2014	09.05.2014	OVFNETTB	Overføring	1500,00	50389099152	3705.09.65091
09.05.2014	09.05.2014	VARER	09.05 ARK, LINDERUD ERICH MOGENS OSLO	-39,00	17017635667	
07.05.2014	07.05.2014	VISA VARE	*8081 02.05 NOK 24.00 STORO STORSENTER Kurs: 1.0000	-24,00	50001685147	
07.05.2014	07.05.2014	VISA VARE	*8081 05.05 NOK 80.00 EUROPARK ONLINE Kurs: 1.0000	-80,00	50001685147	
07.05.2014	07.05.2014	VARER	07.05 JACOBS II AS EKEBERGVN145 OSLO	-45,90	17017413964	
07.05.2014	07.05.2014	VARER	06.05 REMA 1000 ÅRVOLLVEIEN OSLO	-598,06	17017140299	
06.05.2014	06.05.2014	VARER	05.05 VINMONOPOLET LINDERUD OSLO	-396,00	17017134344	
06.05.2014	06.05.2014	VISA VARE	*4485 24.04 NOK 14.00 OSLO UNIVERSITETSSYKEHUS Kurs: 1.0000	-14,00	50001685147	
06.05.2014	06.05.2014	VISA VARE	*8081 02.05 NOK 35.00 EUROPARK ONLINE Kurs: 1.0000	-35,00	50001685147	
05.05.2014	05.05.2014	VARER	02.05 REMA 1000 ÅRVOLLVEIEN OSLO	-52,90	17017178472	
05.05.2014	05.05.2014	VARER	05.05 REMA BJERKE TRONDHEIMSVE OSLO	-319,60	17017873793	
05.05.2014	05.05.2014	VARER	04.05 NORDK.GT.FRUKT NORDKAPPGT. OSLO	-257,20	17017284313	
05.05.2014	05.05.2014	VARER	05.05 REMA 1000 ÅRVOLLVEIEN OSLO	-865,26	17017847701	
05.05.2014	05.05.2014	NETTGIRO	Nettgiro til: ÅRVOLLVEIEN BAR Betalt: 03.05.14	-2435,00	50389059343	1503.28.84420
05.05.2014	05.05.2014	VISA VARE	*8081 01.05 NOK 34.00 EUROPARK ONLINE Kurs: 1.0000	-34,00	50001685147	
05.05.2014	05.05.2014	VARER	03.05 REMA 1000 ÅRVOLLVEIEN OSLO	-202,40	17017244291	
05.05.2014	05.05.2014	VARER	02.05 REMA 1000 ÅRVOLLVEIEN OSLO	-894,22	17017084888	
05.05.2014	05.05.2014	VARER	03.05 REMA SKEIDBANEN KJELSÅSVEIEN OSLO	-184,20	17017384163	
05.05.2014	05.05.2014	VARER	04.05 TROLLVANN AS TROLLVANNSVN OSLO	-140,00	17017813284	
02.05.2014	02.05.2014	OVERFØRT	Til: 6090.06.06888 Betalt: 01.05.14	-3380,00	89252521	6090.06.06888
02.05.2014	02.05.2014	VARER	02.05 3437 RIMI BORGG ÅKERBERGVEIE OSLO	-88,70	17017313674	
02.05.2014	02.05.2014	VARER	02.05 THOMAS TIVOLI 2 HAMLANDERSVE ELVERUM	-200,00	17017654998	
02.05.2014	02.05.2014	VARER	02.05 MESTER GRØNN HOVEDKONTOR SECTOR	-60,00	17017108598	
02.05.2014	02.05.2014	VARER	02.05 VINMONOPOLET LINDERUD OSLO	-233,80	17017223424	
02.05.2014	02.05.2014	VARER	30.04 REMA 1000 ÅRVOLLVEIEN OSLO	-339,41	17017084128	
30.04.2014	30.04.2014	VARER	29.04 NARVESEN 840 VITAMINVN.7 OSLO	-89,00	17017322487	
30.04.2014	30.04.2014	AVTGI	VIKEN FIBERNETT AS	-807,00	93420356	6005.06.23826
30.04.2014	30.04.2014	VARER	30.04 STOFF & STIL ALFASET 1 OSLO	-149,93	17017066297	
30.04.2014	30.04.2014	GEBYR	BANKGIRO 1 TRANS(ER) TYPE 004	-40,00	90460000	
30.04.2014	30.04.2014	VARER	30.04 XXL ALNA STRØMSVN 245 OSLO	-876,00	17017889461	
30.04.2014	30.04.2014	VISA VARE	*8081 28.04 NOK 52.00 EUROPARK ONLINE Kurs: 1.0000	-52,00	50001685147	
29.04.2014	29.04.2014	VISA VARE	*8081 26.04 NOK 59.00 EUROPARK ONLINE Kurs: 1.0000	-59,00	50001685147	
29.04.2014	30.04.2014	NETTGIRO	Nettgiro til: BOOTS NORGE AS Betalt: 29.04.14	-520,00	50389099152	1503.06.13764
29.04.2014	29.04.2014	VARER	29.04 REMA 1000 ÅRVOLLVEIEN OSLO	-721,30	17017986686	
29.04.2014	29.04.2014	VARER	28.04 8356 ICA ERIK MOGENSØ OSLO	-188,82	17017197055	
28.04.2014	28.04.2014	VARER	26.04 ARK, LINDERUD ERICH MOGENS OSLO	-35,00	17017746495	
28.04.2014	28.04.2014	VARER	28.04 LINDEX AVD. 232 E MOGENSSØNS OSLO	-89,50	17017070623	
28.04.2014	28.04.2014	VARER	26.04 KIWI 469 TRONDHEIMSVN OSLO	-27,90	17017073896	
28.04.2014	26.04.2014	LÅN	Til:37061632094	-18000,00	50370689100	3706.16.32094
28.04.2014	28.04.2014	VARER	26.04 REMA 1000 THV. REMA 1000 TH OSLO	-500,00	17017473589	
28.04.2014	28.04.2014	VARER	28.04 171 BOOTS APOTEK LINDERUD	-165,00	17017949177	
28.04.2014	26.04.2014	AVTALE	Til felleskonto	33398,00	89250056	3705.09.65091
28.04.2014	28.04.2014	VARER	26.04 REMA 1000 ÅRVOLLVEIEN OSLO	-91,29	17017475321	
28.04.2014	28.04.2014	VARER	28.04 VINMONOPOLET LINDERUD OSLO	-224,90	17017110978	
28.04.2014	28.04.2014	VARER	26.04 KIWI 469 TRONDHEIMSVN OSLO	-232,70	17017123033	
28.04.2014	28.04.2014	AVTGI	GUDBRANDSDAL ENERGI	-130,31	93420536	2095.19.81088
25.04.2014	25.04.2014	VARER	24.04 BYGGMAKKER BROB HARALDRUDVN OSLO	-198,00	17017847557	
25.04.2014	25.04.2014	VARER	24.04 MAXBO SINSEN HANS NILSEN OSLO	-403,00	17017555585	
25.04.2014	25.04.2014	VARER	24.04 REMA 1000 ÅRVOLLVEIEN OSLO	-171,92	17017554762	
25.04.2014	25.04.2014	VARER	25.04 EUREST3267 GRØ GØRNLANDSLEI OSLO	-30,50	17017819398	
24.04.2014	24.04.2014	VARER	24.04 JACOBS II AS EKEBERGVN145 OSLO	-79,30	17017208245	
24.04.2014	24.04.2014	VARER	23.04 REMA 1000 ÅRVOLLVEIEN OSLO	-88,89	17017425156	
24.04.2014	24.04.2014	VARER	24.04 VEL BEVARE AS KONGSV. 104 OSLO	-69,00	17017408681	
24.04.2014	24.04.2014	AVTGI	FJELLINJEN AS	-641,70	93420632	1503.25.40934
23.04.2014	23.04.2014	VARER	22.04 BOOTS APOTEK ÅRVOLLVN 17 OSLO	-98,00	17017949500	
23.04.2014	23.04.2014	VARER	23.04 VINMONOPOLET LINDERUD OSLO	-260,90	17017177413	
23.04.2014	23.04.2014	VISA VARE	*4485 20.04 NOK 79.00 WWW.NETFLIX.COM Kurs: 1.0000	-79,00	50001685147	
23.04.2014	23.04.2014	VISA VARE	*8081 19.04 NOK 186.00 TTS AS Kurs: 1.0000	-186,00	50001685147	
23.04.2014	23.04.2014	VARER	22.04 REMA 1000 ÅRVOLLVEIEN OSLO	-993,74	17017143526	
23.04.2014	23.04.2014	VARER	23.04 LINDEX AVD. 232 E MOGENSSØNS OSLO	-278,00	17017984309	
23.04.2014	23.04.2014	VARER	23.04 LIFE LINDERUD S ERICH MOGENS OSLO	-109,00	17017096236	
22.04.2014	22.04.2014	VARER	19.04 DOMUS FØRDE COOP MEGA 6800 FØRDE	-72,10	17017361213	
22.04.2014	22.04.2014	VARER	20.04 FJORD1 T-1084 STRANDAVEGEN FLORØ	-103,00	17017571728	
22.04.2014	22.04.2014	VARER	17.04 BP FØRDE NAUSTDALSVN FØRDE	-168,70	17017805995	
22.04.2014	22.04.2014	VARER	16.04 PIKANT AS HAFSTADVN. 3 FØRDE	-176,00	17017481128	
22.04.2014	22.04.2014	AVTGI	GJENSIDIGE FORSIKRING	-1787,00	93423514	6005.06.08460
22.04.2014	22.04.2014	VARER	16.04 PIKANT AS HAFSTADVN. 3 FØRDE	-141,00	17017396721	
22.04.2014	22.04.2014	VARER	20.04 STATOIL BJERKE ØKERN TORGVE OSLO	-753,49	17017914910	
22.04.2014	22.04.2014	VARER	16.04 PIKANT AS HAFSTADVN. 3 FØRDE	-139,00	17017597754	
22.04.2014	22.04.2014	VARER	22.04 REMA 1000 ÅRVOLLVEIEN OSLO	-376,83	17017855296	
22.04.2014	22.04.2014	VARER	20.04 MF ÅRDAL STRANDAVEGEN FLORØ	-67,00	17017652086	
22.04.2014	22.04.2014	VARER	20.04 STATOIL GOL 515 SENTRUMSVEIE GOL	-54,00	17017295224	
22.04.2014	22.04.2014	VARER	19.04 BEST FØRDE 5545 STOREHAGEN 7 FØRDE	-178,00	17017414154	
22.04.2014	22.04.2014	VARER	18.04 BEST FØRDE 5545 STOREHAGEN 7 FØRDE	-124,00	17017465360	
