Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
16.11.2012	16.11.2012	VARER	15.11 REMA BJERKE TRONDHEIMSVE OSLO	-336,53	17017799642	
14.11.2012	14.11.2012	VISA VARE	*8081 12.11 NOK 35.00 OSLO KOMMUNE Kurs: 1.0000	-35,00	50001685147	
14.11.2012	14.11.2012	VISA VARE	*8081 12.11 NOK 23.00 OSLO KOMMUNE Kurs: 1.0000	-23,00	50001685147	
14.11.2012	14.11.2012	VISA VARE	*8081 12.11 NOK 35.00 OSLO KOMMUNE Kurs: 1.0000	-35,00	50001685147	
14.11.2012	14.11.2012	VARER	14.11 REMA BJERKE TRONDHEIMSVE OSLO	-252,63	17017659002	
14.11.2012	14.11.2012	VARER	14.11 MC OSLO AS GRENSEVN. 69 OSLO	-2884,00	17017483093	
14.11.2012	14.11.2012	VARER	14.11 NARVESEN 827 JERNBANEST. LYSAKER	-94,00	17017563351	
14.11.2012	14.11.2012	VISA VARE	*4485 10.11 NOK 314.00 OSLO TAXI Kurs: 1.0000	-314,00	50001685147	
14.11.2012	14.11.2012	AVTGI	HAFSLUND FAKTURASERVICE AS	-430,00	93420115	6468.05.21016
13.11.2012	13.11.2012	VISA VARE	*8081 09.11 NOK 34.00 OSLO KOMMUNE TRAFIKKETAT Kurs: 1.0000	-34,00	50001685147	
13.11.2012	13.11.2012	VARER	13.11 REMA BJERKE TRONDHEIMSVE OSLO	-363,26	17017673317	
13.11.2012	13.11.2012	VARER	12.11 Matkroken Arvol l Oslo	-392,06	17017012601	
13.11.2012	13.11.2012	VISA VARE	*8081 09.11 NOK 34.00 OSLO KOMMUNE TRAFIKKETAT Kurs: 1.0000	-34,00	50001685147	
12.11.2012	12.11.2012	VARER	10.11 MESTER GRØNN HOVEDKONTOR SECTOR	-120,00	17017419350	
12.11.2012	12.11.2012	VISA VARE	*8081 08.11 NOK 21.00 OSLO KOMMUNE TRAFIKKETAT Kurs: 1.0000	-21,00	50001685147	
12.11.2012	12.11.2012	VISA VARE	*8081 08.11 NOK 34.00 OSLO KOMMUNE TRAFIKKETAT Kurs: 1.0000	-34,00	50001685147	
12.11.2012	12.11.2012	VARER	10.11 REMA BJERKE TRONDHEIMSVE OSLO	-1088,58	17017423724	
12.11.2012	12.11.2012	VARER	10.11 ESTHETIQUE 636 ERIC MOGENSE OSLO	-125,00	17017499500	
12.11.2012	12.11.2012	VARER	10.11 ARK, LINDERUD ERICH MOGENS OSLO	-167,00	17017455865	
12.11.2012	12.11.2012	VARER	11.11 STATOIL BJERKE ØKERN TORGVE OSLO	-82,00	17017128759	
12.11.2012	12.11.2012	VISA VARE	*8081 08.11 NOK 34.00 OSLO KOMMUNE TRAFIKKETAT Kurs: 1.0000	-34,00	50001685147	
12.11.2012	12.11.2012	VARER	09.11 REMA BJERKE TRONDHEIMSVE OSLO	-710,51	17017158386	
12.11.2012	12.11.2012	VARER	10.11 ICA Supermarked Linder OSLO	-102,22	17017380031	
12.11.2012	12.11.2012	AVTALE	Til felleskonto	17330,00	50370028925	3700.15.71126
09.11.2012	09.11.2012	VISA VARE	*8081 07.11 NOK 34.00 OSLO KOMMUNE TRAFIKKETAT Kurs: 1.0000	-34,00	50001685147	
09.11.2012	09.11.2012	VISA VARE	*8081 07.11 NOK 34.00 OSLO KOMMUNE TRAFIKKETAT Kurs: 1.0000	-34,00	50001685147	
09.11.2012	09.11.2012	VISA VARE	*8081 07.11 NOK 34.00 OSLO KOMMUNE TRAFIKKETAT Kurs: 1.0000	-34,00	50001685147	
09.11.2012	09.11.2012	VISA VARE	*8081 07.11 NOK 8.00 OSLO KOMMUNE TRAFIKKETAT Kurs: 1.0000	-8,00	50001685147	
09.11.2012	09.11.2012	VARER	08.11 Matkroken Arvol l Oslo	-38,79	17017017644	
08.11.2012	08.11.2012	VARER	08.11 KIWI 351 GRØNLANDSLEI OSLO	-83,80	17017270392	
07.11.2012	07.11.2012	VARER	06.11 Matkroken Arvol l Oslo	-259,00	17017802182	
07.11.2012	07.11.2012	NETTGIRO	Nettgiro til: FUJIDIREKTE Betalt: 07.11.12	-141,00	50389079343	6021.07.38838
07.11.2012	07.11.2012	VARER	06.11 171 BOOTS APOTEK LINDERUD	-371,40	17017240978	
07.11.2012	07.11.2012	VARER	07.11 KIWI 351 GRØNLANDSLEI OSLO	-182,30	17017237402	
06.11.2012	06.11.2012	VARER	05.11 REMA BJERKE TRONDHEIMSVE OSLO	-407,56	17017498326	
06.11.2012	06.11.2012	VARER	05.11 LEGE MEIDELL ERICH MOGENS OSLO	-108,00	17017265997	
06.11.2012	06.11.2012	VARER	05.11 ICA Supermarked Linder OSLO	-221,66	17017456830	
05.11.2012	05.11.2012	VARER	04.11 STATOIL BJERKE ØKERN TORGVE OSLO	-1163,72	17017258644	
05.11.2012	05.11.2012	VARER	03.11 43 PLANTASJEN VITAMINVN. 1 OSLO	-757,80	17017532254	
05.11.2012	05.11.2012	VARER	02.11 REMA BJERKE TRONDHEIMSVE OSLO	-709,35	17017310951	
05.11.2012	05.11.2012	VARER	03.11 LINDEX AVD. 232 E MOGENSSØNS OSLO	-597,00	17017978254	
05.11.2012	05.11.2012	VARER	03.11 ICA Supermarked Linder OSLO	-182,24	17017064143	
05.11.2012	05.11.2012	VARER	05.11 KIWI 351 GRØNLANDSLEI OSLO	-101,08	17017623023	
05.11.2012	05.11.2012	VARER	03.11 BAKER SAMSON E.MOGENSØNSV OSLO	-230,00	17017694689	
05.11.2012	05.11.2012	VARER	04.11 STATOIL BJERKE ØKERN TORGVE OSLO	-52,76	17017365711	
05.11.2012	05.11.2012	VARER	03.11 Matkroken Arvol l Oslo	-189,00	17017115371	
05.11.2012	05.11.2012	NETTGIRO	Nettgiro til: OSLO BARNEVAKTF Betalt: 03.11.12	-2500,00	50389059343	1609.04.85249
02.11.2012	02.11.2012	VISA VARE	*8081 30.10 NOK 12.00 STORO STORSENTER Kurs: 1.0000	-12,00	50001685147	
02.11.2012	02.11.2012	VARER	01.11 REMA BJERKE TRONDHEIMSVE OSLO	-409,02	17017264607	
01.11.2012	01.11.2012	VARER	31.10 Matkroken Arvol l Oslo	-111,70	17017265525	
01.11.2012	01.11.2012	VARER	31.10 REMA BJERKE TRONDHEIMSVE OSLO	-306,01	17017186029	
01.11.2012	01.11.2012	VARER	01.11 Matkroken Arvol l Oslo	-95,30	17017168692	
01.11.2012	01.11.2012	OVERFØRT	Til: 6090.06.06888 Betalt: 01.11.12	-3180,00	89250277	6090.06.06888
31.10.2012	31.10.2012	VARER	30.10 JUNIOR BARNEKL. VITAMINVN. 7 OSLO	-1876,00	17017873830	
31.10.2012	31.10.2012	VARER	30.10 POLARN O. PYRET VITAMINVEIEN OSLO	-646,00	17017845349	
31.10.2012	31.10.2012	VARER	30.10 JUNIOR BARNEKL. VITAMINVN. 7 OSLO	-179,00	17017883394	
31.10.2012	31.10.2012	VARER	30.10 THE BODY SHOP S STORO STORSE OSLO	-397,00	17017902357	
31.10.2012	31.10.2012	VARER	30.10 Matkroken Arvol l Oslo	-96,61	17017749921	
30.10.2012	30.10.2012	VARER	29.10 SHELL AAS DROEB AKVEIEN AAS	-62,00	17017513912	
30.10.2012	30.10.2012	VARER	29.10 ICA Supermarked Linder OSLO	-65,14	17017915802	
30.10.2012	30.10.2012	AVTGI	Viken Fibernett AS	-698,00	93420327	1503.14.83481
30.10.2012	30.10.2012	VARER	30.10 Matkroken Arvol l Oslo	-170,70	17017625306	
29.10.2012	29.10.2012	VARER	29.10 REMA BJERKE TRONDHEIMSVE OSLO	-446,36	17017804852	
29.10.2012	29.10.2012	VISA VARE	*4485 24.10 NOK 209.00 CHRISTIANIA TAXI AS Kurs: 1.0000	-209,00	50001685147	
29.10.2012	29.10.2012	VARER	26.10 SUSHIHUSET AS TRONDHEIMSVE OSLO	-424,00	17017620136	
29.10.2012	29.10.2012	VARER	29.10 ICA Supermarked Linder OSLO	-126,70	17017958335	
29.10.2012	29.10.2012	VARER	26.10 CUBUS 860 ERICH MOGENS OSLO	-198,00	17017743444	
29.10.2012	29.10.2012	VARER	27.10 SPRELL STORO VITAMINV 7-9 0485 OSLO	-318,00	17017526744	
29.10.2012	29.10.2012	VARER	27.10 Matkroken Arvol l Oslo	-267,40	17017333006	
29.10.2012	29.10.2012	VARER	26.10 ÅRVOLL POST I BUTIKK OSLO	-20,00	17017916692	
29.10.2012	29.10.2012	VARER	28.10 TROLLVANN AS TROLLVANNSVN OSLO	-80,00	17017953375	
29.10.2012	29.10.2012	VARER	26.10 ESTHETIQUE 636 ERIC MOGENSE OSLO	-530,00	17017796360	
29.10.2012	29.10.2012	VARER	26.10 REMA BJERKE TRONDHEIMSVE OSLO	-980,23	17017093687	
29.10.2012	29.10.2012	VARER	27.10 OLIVIERS OG CO STRANDLIVN. KOLBOTN	-249,00	17017362445	
29.10.2012	29.10.2012	AVTGI	Gudbrandsdal Energi AS	-56,72	93420074	2095.19.81088
26.10.2012	26.10.2012	VARER	26.10 Matkroken Arvol l Oslo	-71,50	17017032255	
26.10.2012	26.10.2012	VARER	26.10 KIWI MINIPRIS PROF.KOHTSV. 1368 STABEKK	-69,90	17017749954	
26.10.2012	26.10.2012	VARER	25.10 Matkroken Arvol l Oslo	-290,40	17017972437	
26.10.2012	26.10.2012	LÅN	Til:37061218050	-15800,00	50370669100	3706.12.18050
26.10.2012	26.10.2012	AVTALE	Til felleskonto	31990,00	89250124	3705.09.65091
